Date,Curation_Request,Author_Submitted,Other
2004-02-01,0,0,21239
2004-03-01,0,0,21350
2004-04-01,0,0,21834
2004-05-01,0,0,26478
2004-06-01,0,95,28580
2004-07-01,0,386,29161
2004-08-01,0,386,31358
2004-09-01,0,386,31691
2004-10-01,0,386,31770
2004-11-01,0,2230,33786
2004-12-01,0,4051,36014
2005-01-01,0,4051,36328
2005-02-01,0,4051,36375
2005-03-01,0,4051,36631
2005-04-01,0,4051,37106
2005-05-01,0,4051,37827
2005-06-01,0,4051,38108
2005-07-01,0,4051,39521
2005-08-01,0,4051,40653
2005-09-02,0,4051,41154
2005-10-01,0,4051,42495
2005-11-01,0,4051,46196
2005-12-01,0,4051,49797
2006-01-01,0,30153,76599
2006-02-07,0,30153,76831
2006-03-06,0,30153,84338
2006-03-13,0,30153,96646
2006-04-02,0,30153,97292
2006-05-09,0,30153,98648
2006-05-26,0,30153,98651
2006-06-02,0,30153,98897
2006-07-07,0,30195,101130
2006-08-18,0,30195,101587
2006-09-01,0,30195,101827
2006-09-08,0,30195,101949
2006-09-15,0,30195,102054
2006-09-22,0,30195,102927
2006-09-29,0,30195,103120
2006-10-06,0,30195,103196
2006-10-13,0,30195,103817
2006-10-26,0,30195,104920
2006-11-03,0,30645,114228
2006-11-10,0,30645,114263
2006-11-17,0,30645,114745
2006-11-24,0,30645,115215
2006-12-04,0,30645,115394
2006-12-08,0,30645,115410
2006-12-16,0,30645,115892
2007-01-12,0,30645,116037
2007-01-19,0,30645,116041
2007-01-26,0,30645,116158
2007-02-02,0,30645,116182
2007-02-09,0,30645,116328
2007-02-16,0,30645,116517
2007-02-23,0,30645,116608
2007-03-09,2,31471,118047
2007-03-16,2,31471,118098
2007-03-23,2,37957,124745
2007-03-30,2,37957,125025
2007-04-13,11,37957,125615
2007-04-20,11,37957,125669
2007-04-27,14,37957,125735
2007-05-04,14,37957,126987
2007-05-14,14,37957,127178
2007-05-18,14,37957,127343
2007-05-25,32,37957,127408
2007-06-08,32,37957,127567
2007-06-15,72,37957,127830
2007-06-22,86,37957,127923
2007-07-08,86,37957,128164
2007-07-13,86,50017,140255
2007-07-20,86,50017,140344
2007-07-27,86,50017,140475
2007-08-24,91,50884,142066
2007-08-31,95,50884,142126
2007-09-07,95,50884,142210
2007-09-14,95,50884,142232
2007-09-24,95,51762,143384
2007-09-28,95,51762,143698
2007-10-12,95,51762,144339
2007-10-19,95,51762,144540
2007-10-26,95,51762,144611
2007-11-16,95,51762,145073
2007-11-23,95,51762,145345
2007-11-30,151,51762,145607
2007-12-07,151,51762,145772
2007-12-14,151,51762,146092
2008-01-04,151,51762,146272
2008-01-25,151,51762,150056
2008-02-08,151,51762,150455
2008-02-15,151,51762,150554
2008-02-25,154,51762,150780
2008-02-29,154,51855,150907
2008-03-14,154,51855,151184
2008-03-28,155,51855,151403
2008-04-11,155,51855,151462
2008-05-03,207,52359,152255
2008-05-16,207,52954,153830
2008-05-23,207,52954,153932
2008-05-30,207,52954,153961
2008-06-06,207,56647,157783
2008-06-13,207,56647,157970
2008-06-20,211,56647,158074
2008-06-27,211,56647,158112
2008-07-04,211,56647,158161
2008-07-11,211,56647,158355
2008-07-25,211,56647,158625
2008-08-22,228,56675,159094
2008-10-03,228,56675,161064
2008-10-17,228,56675,161525
2008-10-31,228,56675,162085
2008-11-07,228,56675,162227
2008-11-28,228,56675,162743
2008-12-12,228,56675,166425
2009-01-09,287,57240,167305
2009-01-16,287,57240,167576
2009-01-23,287,57694,168295
2009-02-06,299,57694,168756
2009-02-20,318,57694,169304
2009-03-06,318,57694,169552
2009-04-03,318,57694,169954
2009-04-17,328,57694,170130
2009-05-05,328,57709,170367
2009-05-15,328,57903,170814
2009-06-01,2133,58483,173327
2009-06-12,2634,58483,174106
2009-06-19,2634,58483,174108
2009-07-10,2637,59570,175347
2009-07-17,2641,59977,175915
2009-07-31,2641,59977,176083
2009-08-21,6431,59977,180403
2009-09-04,6431,59977,180784
2009-09-18,6431,59977,181301
2009-10-09,6431,60046,181871
2009-10-30,6431,60046,182340
