Date,N_ary,Binary,Interactions,TrueBinary
2003-08-05,0,2,2,2
2003-08-06,0,7,7,7
2003-08-08,0,9,9,9
2003-08-20,0,12,12,12
2003-08-21,1,18,15,14
2003-08-27,2,23,16,14
2003-09-03,2,24,17,15
2003-09-05,2,25,18,16
2003-09-09,2,27,20,18
2003-09-10,2,30,23,21
2003-09-11,2,31,24,22
2003-09-12,2,32,25,23
2003-09-15,3,35,27,24
2003-09-16,4,48,38,34
2003-09-19,4,60,39,46
2003-09-22,4,62,41,48
2003-09-23,4,63,42,49
2003-09-24,9,102,50,65
2003-09-25,11,126,58,85
2003-09-26,11,158,66,117
2003-10-02,11,160,68,119
2003-10-03,11,161,69,120
2003-10-09,11,163,70,122
2003-10-10,11,165,72,124
2003-10-14,17,182,79,125
2003-10-22,17,187,84,130
2003-10-23,17,190,87,133
2003-10-24,20,202,96,139
2003-10-31,20,203,97,140
2003-11-03,20,208,102,145
2003-11-04,21,222,111,153
2003-11-05,22,231,118,159
2003-11-06,22,237,124,165
2003-11-07,23,250,131,174
2003-11-10,27,265,142,181
2003-11-11,27,299,168,215
2003-11-12,27,326,191,242
2003-11-13,29,359,219,271
2003-11-14,29,384,242,296
2003-11-18,34,410,252,301
2003-11-24,35,425,266,314
2003-11-25,35,466,301,355
2003-11-26,35,471,306,360
2003-11-27,35,479,314,368
2003-11-28,35,496,331,385
2003-12-01,36,516,350,403
2003-12-02,36,524,358,411
2003-12-03,37,547,381,433
2003-12-04,37,571,405,457
2003-12-05,41,596,426,474
2003-12-08,41,603,433,481
2003-12-09,42,623,453,500
2003-12-10,43,635,464,510
2003-12-11,46,648,475,518
2003-12-12,46,662,489,532
2003-12-15,52,686,503,540
2003-12-16,52,705,522,559
2003-12-17,54,719,529,564
2003-12-18,54,736,546,581
2004-01-05,54,742,552,587
2004-01-06,55,760,569,603
2004-01-07,58,16523,16329,16360
2004-01-08,58,21451,21257,21288
2004-01-09,58,21453,21259,21290
2004-01-12,59,21461,21266,21296
2004-01-13,60,21492,21296,21325
2004-01-14,61,21505,21306,21335
2004-01-15,61,21525,21319,21355
2004-01-16,63,21539,21329,21364
2004-01-20,63,21547,21337,21372
2004-01-21,68,21571,21356,21386
2004-01-26,70,21588,21369,21397
2004-01-27,71,21592,21373,21400
2004-01-28,77,21606,21382,21403
2004-01-29,79,21623,21396,21415
2004-02-04,79,21624,21397,21416
2004-02-10,80,21630,21402,21420
2004-02-11,80,21634,21406,21424
2004-02-12,81,21635,21407,21424
2004-02-15,81,21642,21414,21431
2004-02-16,81,21643,21415,21432
2004-02-19,81,21652,21424,21441
2004-02-20,81,21654,21426,21443
2004-02-23,81,21655,21427,21444
2004-02-24,81,21663,21434,21452
2004-02-27,81,21665,21436,21454
2004-03-01,82,21669,21439,21457
2004-03-02,82,21671,21441,21459
2004-03-03,83,21709,21451,21470
2004-03-04,87,21728,21468,21483
2004-03-05,87,21729,21469,21484
2004-03-08,87,21750,21490,21505
2004-03-09,88,21753,21493,21507
2004-03-10,90,21793,21495,21507
2004-03-11,91,21853,21503,21514
2004-03-12,91,21854,21504,21515
2004-03-16,91,21857,21507,21518
2004-03-19,93,21870,21517,21526
2004-03-20,95,21877,21521,21528
2004-03-21,96,21895,21538,21544
2004-03-22,99,21916,21551,21554
2004-03-23,101,21927,21559,21560
2004-03-24,101,21948,21579,21581
2004-03-25,101,21949,21580,21582
2004-03-26,102,21963,21592,21593
2004-03-29,102,21965,21594,21595
2004-03-30,103,21978,21598,21598
2004-03-31,109,21998,21606,21600
2004-04-01,109,22002,21610,21604
2004-04-02,110,22017,21616,21609
2004-04-04,110,22022,21621,21614
2004-04-05,111,22046,21628,21620
2004-04-13,111,22048,21630,21622
2004-04-18,111,22056,21638,21630
2004-04-20,111,22060,21642,21634
2004-04-21,114,22069,21648,21637
2004-04-22,114,22075,21654,21643
2004-04-23,114,22085,21664,21653
2004-04-28,114,22372,21951,21940
2004-04-29,114,26922,26501,26490
2004-05-02,114,26932,26511,26500
2004-05-04,114,26938,26517,26506
2004-05-05,114,26956,26535,26524
2004-05-06,114,26967,26546,26535
2004-05-10,116,26990,26557,26544
2004-05-11,116,26994,26561,26548
2004-05-12,116,27089,26656,26643
2004-05-13,117,27133,26667,26653
2004-05-14,117,27140,26674,26660
2004-05-17,118,27150,26684,26669
2004-05-18,120,27380,26697,26680
2004-05-19,121,27389,26706,26688
2004-05-20,127,27473,26714,26766
2004-05-21,127,27474,26715,26767
2004-05-22,128,27502,26724,26775
2004-05-24,128,27506,26728,26779
2004-05-25,128,27510,26732,26783
2004-05-26,128,27528,26750,26801
2004-05-27,128,29319,28541,28592
2004-05-28,128,29327,28549,28600
2004-06-02,130,29330,28552,28601
2004-06-03,143,29381,28583,28619
2004-06-04,148,29401,28596,28627
2004-06-08,148,29404,28599,28630
2004-06-09,149,29407,28602,28632
2004-06-10,149,29414,28609,28639
2004-06-11,152,29438,28630,28657
2004-06-14,152,29440,28632,28659
2004-06-15,152,29462,28654,28681
2004-06-16,154,29485,28670,28700
2004-06-17,159,29497,28677,28702
2004-06-18,162,29535,28715,28737
2004-06-22,163,29538,28716,28737
2004-06-25,165,29542,28718,28737
2004-06-28,168,29558,28723,28739
2004-06-29,168,29566,28731,28747
2004-06-30,172,29682,28746,28758
2004-07-01,173,29696,28759,28771
2004-07-05,173,29697,28760,28772
2004-07-06,173,29702,28765,28777
2004-07-07,175,29706,28769,28779
2004-07-08,175,29711,28774,28784
2004-07-09,175,29713,28776,28786
2004-07-13,178,29741,28799,28806
2004-07-14,179,30055,29105,29111
2004-07-15,180,30058,29108,29113
2004-07-16,181,30171,29221,29225
2004-07-20,181,30195,29245,29249
2004-07-21,182,30216,29266,29269
2004-07-22,184,31706,30752,30755
2004-07-23,192,32191,30764,30810
2004-07-26,192,32200,30773,30819
2004-07-28,193,32203,30775,30820
2004-07-29,193,32207,30779,30824
2004-07-30,197,32226,30789,30830
2004-08-03,200,32371,30792,30830
2004-08-04,200,32385,30806,30844
2004-08-06,206,32404,30816,30848
2004-08-09,207,32433,30839,30870
2004-08-10,207,32441,30847,30878
2004-08-11,212,32451,30854,30880
2004-08-12,214,32487,30859,30897
2004-08-16,218,32524,30875,30909
2004-08-17,223,32595,30894,30923
2004-08-18,229,32677,30911,30934
2004-08-26,229,32729,30963,30986
2004-08-27,231,32734,30966,30987
2004-08-28,233,32760,30973,30992
2004-08-29,235,32770,30981,30998
2004-08-30,241,32793,30991,31002
2004-09-03,241,32798,30996,31007
2004-09-06,241,32799,30997,31008
2004-09-07,241,32806,31004,31015
2004-09-08,245,32823,31021,31028
2004-09-09,245,32827,31025,31032
2004-09-10,245,32830,31028,31035
2004-09-13,245,32833,31031,31038
2004-09-14,245,32835,31033,31040
2004-09-15,245,32859,31057,31064
2004-09-17,246,32885,31083,31089
2004-09-27,246,32886,31084,31090
2004-09-28,248,32901,31098,31102
2004-09-29,248,32904,31101,31105
2004-09-30,248,32910,31107,31111
2004-10-01,250,32916,31111,31113
2004-10-04,250,32925,31120,31122
2004-10-05,250,32939,31134,31136
2004-10-06,250,32946,31141,31143
2004-10-07,250,32955,31150,31152
2004-10-08,250,32960,31155,31157
2004-10-11,251,33004,31196,31200
2004-10-12,251,33015,31207,31211
2004-10-13,253,33023,31212,31214
2004-10-14,254,33036,31225,31226
2004-10-19,254,33043,31232,31233
2004-10-22,254,33050,31239,31240
2004-10-25,254,33063,31252,31253
2004-10-26,254,33070,31259,31260
2004-10-27,254,33072,31261,31262
2004-10-28,255,33124,31309,31309
2004-11-02,255,33130,31315,31315
2004-11-03,255,33145,31321,31330
2004-11-05,266,33184,31346,31344
2004-11-08,266,33197,31359,31357
2004-11-09,267,33219,31377,31374
2004-11-10,267,33234,31392,31389
2004-11-11,268,33242,31399,31395
2004-11-12,268,33245,31402,31398
2004-11-15,268,33247,31404,31400
2004-11-17,271,33259,31413,31406
2004-11-18,271,33260,31414,31407
2004-11-22,272,33266,31419,31411
2004-11-23,275,33274,31427,31416
2004-11-25,275,33275,31428,31417
2004-11-26,275,33377,31440,31519
2004-11-29,278,33384,31444,31520
2004-12-02,282,33398,31448,31520
2004-12-03,285,33427,31471,31540
2004-12-06,285,33435,31479,31548
2004-12-07,285,33439,31483,31552
2004-12-08,285,33459,31503,31572
2004-12-09,286,33460,31504,31572
2004-12-10,290,33484,31508,31572
2004-12-13,290,33485,31509,31573
2004-12-14,290,33487,31511,31575
2004-12-15,290,33491,31515,31579
2004-12-16,290,35312,33336,33400
2004-12-17,290,35315,33339,33403
2004-12-20,295,35324,33348,33407
2004-12-21,295,35331,33355,33414
2004-12-22,295,35332,33356,33415
2005-01-04,295,35534,33558,33617
2005-01-10,295,35537,33561,33620
2005-01-11,295,35538,33562,33621
2005-01-14,295,35543,33567,33626
2005-01-20,295,35550,33574,33633
2005-01-21,295,35590,33614,33673
2005-01-22,296,35597,33621,33679
2005-01-24,296,35601,33625,33683
2005-01-25,296,35611,33635,33693
2005-01-26,296,35623,33647,33705
2005-01-27,297,35665,33689,33746
2005-01-28,303,35856,33877,33928
2005-02-01,303,35877,33898,33949
2005-02-02,303,35882,33903,33954
2005-02-03,304,35883,33904,33954
2005-02-04,304,35894,33915,33965
2005-02-07,305,35913,33934,33983
2005-02-08,306,35962,33982,34031
2005-02-09,313,36019,34030,34072
2005-02-10,313,36020,34031,34073
2005-02-11,313,36030,34041,34083
2005-02-14,313,36031,34042,34084
2005-02-15,314,36054,34064,34105
2005-02-16,315,36064,34073,34113
2005-02-18,315,36066,34075,34115
2005-02-21,315,36083,34092,34132
2005-02-22,317,36097,34105,34143
2005-02-23,325,36171,34133,34163
2005-02-24,335,36243,34183,34203
2005-02-25,338,36258,34198,34215
2005-02-28,338,38106,36046,36063
2005-03-02,338,38109,36049,36066
2005-03-03,344,38151,36071,36082
2005-03-04,355,38232,36113,36113
2005-03-07,356,38253,36116,36115
2005-03-08,356,38258,36121,36120
2005-03-09,357,38291,36149,36151
2005-03-10,357,38350,36208,36210
2005-03-11,357,38360,36218,36220
2005-03-14,357,38378,36236,36238
2005-03-15,364,38440,36282,36277
2005-03-16,367,38481,36322,36314
2005-03-17,373,38509,36347,36333
2005-03-18,378,38541,36361,36342
2005-03-21,379,38553,36373,36353
2005-03-22,382,38569,36382,36359
2005-03-24,382,38595,36408,36385
2005-03-29,382,38623,36436,36413
2005-03-30,388,38647,36460,36431
2005-03-31,388,38653,36466,36437
2005-04-01,397,38671,36482,36444
2005-04-04,397,38684,36495,36457
2005-04-05,400,38725,36528,36495
2005-04-06,406,38768,36564,36525
2005-04-07,406,38824,36592,36581
2005-04-08,415,38902,36637,36617
2005-04-11,416,38928,36659,36640
2005-04-12,420,38990,36716,36693
2005-04-13,435,39091,36762,36729
2005-04-14,435,39097,36768,36735
2005-04-15,444,39185,36818,36789
2005-04-18,451,39289,36842,36806
2005-04-19,455,39360,36865,36873
2005-04-20,457,39447,36949,36955
