Method_ID,Label,Experiments
MI:0007,anti tag coimmunoprecipitation,11378
MI:0006,anti bait coimmunoprecipitation,10428
MI:0096,pull down,10067
MI:0018,two hybrid,6148
MI:0114,x-ray crystallography,4423
MI:0071,molecular sieving,3357
MI:0416,fluorescence microscopy,1880
MI:0663,confocal microscopy,1574
MI:0676,tandem affinity purification,1467
MI:0424,protein kinase assay,1191
MI:0019,coimmunoprecipitation,1185
MI:0030,cross-linking study,1129
MI:0107,surface plasmon resonance,1089
MI:0398,two hybrid pooling approach,883
MI:0065,isothermal titration calorimetry,870
MI:0077,nuclear magnetic resonance,863
MI:0402,chromatin immunoprecipitation assay,718
MI:0028,cosedimentation in solution,708
MI:0410,3D electron microscopy,653
MI:0055,fluorescent resonance energy transfer,535
MI:0809,bimolecular fluorescence complementation,485
MI:0004,affinity chromatography technology,474
MI:0047,far western blotting,421
MI:0020,transmission electron microscopy,406
MI:0813,proximity ligation assay,394
MI:0029,cosedimentation through density gradient,366
MI:0411,enzyme linked immunosorbent assay,365
MI:0428,imaging technique,353
MI:0017,classical fluorescence spectroscopy,347
MI:0808,comigration in sds page,338
MI:0404,comigration in non denaturing gel electrophoresis,333
MI:0435,protease assay,310
MI:0415,enzymatic study,299
MI:0040,electron microscopy,297
MI:0826,x ray scattering,283
MI:0067,light scattering,278
MI:2285,miRNA interference luciferase reporter assay,277
MI:0053,fluorescence polarization spectroscopy,238
MI:0049,filter binding,235
MI:0069,mass spectrometry studies of complexes,231
MI:0413,electrophoretic mobility shift assay,218
MI:0226,ion exchange chromatography,205
MI:0051,fluorescence technology,193
MI:0276,blue native page,191
MI:0434,phosphatase assay,182
MI:0892,solid phase assay,176
MI:0027,cosedimentation,164
MI:0405,competition binding,163
MI:0038,dynamic light scattering,156
MI:0042,electron paramagnetic resonance,155
MI:0397,two hybrid array,149
MI:0081,peptide array,143
MI:0045,experimental interaction detection,141
MI:0412,electrophoretic mobility supershift assay,139
MI:0515,methyltransferase assay,123
MI:0401,biochemical,122
MI:0016,circular dichroism,121
MI:0091,chromatography technology,117
MI:0014,adenylate cyclase complementation,114
MI:0112,ubiquitin reconstruction,114
MI:0012,bioluminescence resonance energy transfer,114
MI:0104,static light scattering,95
MI:0969,bio-layer interferometry,91
MI:0054,fluorescence-activated cell sorting,88
MI:0400,affinity technology,80
MI:0872,atomic force microscopy,79
MI:0419,gtpase assay,79
MI:0807,comigration in gel electrophoresis,76
MI:2339,electron microscopy 3D single particle reconstruction,75
MI:0905,amplified luminescent proximity homogeneous assay,70
MI:0880,atpase assay,68
MI:1247,microscale thermophoresis,63
MI:0406,deacetylase assay,60
MI:0084,phage display,58
MI:0841,phosphotransferase assay,57
MI:0990,cleavage assay,55
MI:0089,protein array,50
MI:0013,biophysical,46
MI:1017,rna immunoprecipitation,44
MI:0982,electrophoretic mobility-based method,42
MI:0889,acetylase assay,40
MI:0949,gdp/gtp exchange assay,38
MI:0870,demethylase assay,36
MI:0728,gal4 vp16 complementation,33
MI:1246,ion mobility mass spectrometry of complexes,32
MI:0031,protein cross-linking with a bifunctional reagent,31
MI:0440,saturation binding,31
MI:0944,mass spectrometry study of hydrogen/deuterium exchange,29
MI:0399,two hybrid fragment pooling approach,29
MI:0979,oxidoreductase assay,28
MI:0588,three hybrid,27
MI:0729,luminescence based mammalian interactome mapping,27
MI:0010,beta galactosidase complementation,26
MI:0423,in-gel kinase assay,25
MI:0426,light microscopy,24
MI:0655,lambda repressor two hybrid,23
MI:0090,protein complementation assay,22
MI:1016,fluorescence recovery after photobleaching,22
MI:0997,ubiquitinase assay,22
MI:0052,fluorescence correlation spectroscopy,21
MI:1000,hydroxylase assay,21
MI:1232,aggregation assay,21
MI:1314,proximity-dependent biotin identification,21
MI:0432,one hybrid,21
MI:0966,ultraviolet-visible spectroscopy,20
MI:0998,deubiquitinase assay,20
MI:1203,split luciferase complementation,20
MI:0920,ribonuclease assay,19
MI:1103,solution state nmr,19
MI:1235,thermal shift binding,19
MI:2194,crac,17
MI:0825,x-ray fiber diffraction,17
MI:0369,lex-a dimerization assay,17
MI:0232,transcriptional complementation assay,15
MI:0727,lexa b52 complementation,15
MI:0111,dihydrofolate reductase reconstruction,14
MI:1112,two hybrid prey pooling approach,14
MI:0231,mammalian protein protein interaction trap,14
MI:0605,enzymatic footprinting,14
MI:1356,validated two hybrid,13
MI:0859,force spectroscopy,13
MI:1007,glycosylase assay,13
MI:0516,methyltransferase radiometric assay,13
MI:0943,detection by mass spectrometry,12
MI:1104,solid state nmr,12
MI:0437,protein three hybrid,12
MI:0011,beta lactamase complementation,12
MI:1019,protein phosphatase assay,11
MI:1311,differential scanning calorimetry,11
MI:0008,array technology,11
MI:0066,lambda phage display,10
MI:2224,chemical rna modification plus base pairing prediction,10
MI:0097,reverse ras recruitment system,10
MI:0858,immunodepleted coimmunoprecipitation,10
MI:0888,small angle neutron scattering,10
MI:0417,footprinting,10
MI:0370,tox-r dimerization assay,10
MI:1022,field flow fractionation,9
MI:1204,split firefly luciferase complementation,9
MI:0953,polymerization,8
MI:0984,deamination assay,8
MI:0700,rna directed rna polymerase assay,8
MI:0928,filter trap assay,7
MI:0964,infrared spectroscopy,7
MI:0227,reverse phase chromatography,7
MI:1211,liposome binding assay,7
MI:0430,nucleic acid uv cross-linking assay,7
MI:0225,chromatin immunoprecipitation array,7
MI:1024,scanning electron microscopy,6
MI:1147,ampylation assay,6
MI:1037,Split renilla luciferase complementation,6
MI:0363,inferred by author,6
MI:0894,electron diffraction,5
MI:0921,surface plasmon resonance array,5
MI:0968,biosensor,5
MI:1034,nuclease assay,5
MI:1138,decarboxylation assay,5
MI:0512,zymography,5
MI:0001,interaction detection method,5
MI:0678,antibody array,5
MI:1354,lipase assay,5
MI:2188,par-clip,4
MI:0099,scintillation proximity assay,4
MI:0108,t7 phage display,4
MI:0899,p3 filamentous phage display,4
MI:0893,neutron diffraction,4
MI:0726,reverse two hybrid,4
MI:2338,electron tomography,4
MI:0420,kinase homogeneous time resolved fluorescence,4
MI:0606,DNase I footprinting,4
MI:2197,probe interaction assay,3
MI:0048,filamentous phage display,3
MI:2213,Super-resolution microscopy,3
MI:0115,yeast display,3
MI:0946,miniaturized immunoprecipitation,3
MI:1008,sumoylase assay,3
MI:1005,adp ribosylase assay,3
MI:0994,demyristoylase assay,3
MI:1142,aminoacylation assay,3
MI:1031,protein folding/unfolding,3
MI:0510,homogeneous time resolved fluorescence,3
MI:0425,kinase scintillation proximity assay,3
MI:1309,de-ADP-ribosylation assay,3
MI:0438,rna three hybrid,3
MI:2189,avexis,2
MI:2191,clip,2
MI:0043,electron resonance,2
MI:2215,barcode fusion genetics two hybrid,2
MI:0814,protease accessibility laddering,2
MI:0824,x-ray powder diffraction,2
MI:0095,proteinchip(r) on a surface-enhanced laser desorption/ionization,2
MI:0879,nucleoside triphosphatase assay,2
MI:2340,electron microscopy 3D helical reconstruction,2
MI:0947,bead aggregation assay,2
MI:0963,interactome parallel affinity capture,2
MI:0991,lipoprotein cleavage assay,2
MI:1088,phenotype-based detection assay,2
MI:1086,equilibrium dialysis,2
MI:1004,palmitoylase assay,2
MI:1137,carboxylation assay,2
MI:1183,nuclease footprinting,2
MI:1218,chromosome conformation capture assay,2
MI:1219,enzyme-mediated activation of radical sources,2
MI:1249,isomerase assay,2
MI:1229,uridylation assay,2
MI:1312,aut-page,2
MI:0254,genetic interference,2
MI:1325,sulfurtransferase assay,2
MI:0697,dna directed dna polymerase assay,2
MI:1352,uracil interference assay,1
MI:0034,display technology,1
MI:2169,luminiscence technology,1
MI:2171,complemented donor-acceptor resonance energy transfer,1
MI:2195,clash,1
MI:2192,clip-seq,1
MI:2196,quartz crystal microbalance,1
MI:2223,inference by quantitative co-purification,1
MI:2222,inference by socio-affinity scoring,1
MI:0073,mrna display,1
MI:0092,protein in situ array,1
MI:2277,Cr-two hybrid,1
MI:2281,deamidation assay,1
MI:0887,histone acetylase assay,1
